Batch,ResponseId,con.reveal,con.precise,con.sequence,total_bonus,total_pay,difficulty,strategy,strategy_9_TEXT,adviceNoticed,adviceFeeling,rationaleFeeling,adviceIncorporate,adviceThoughts,bestTip,driversLicense,cars,similarGames,freqDrive,attention,nav,navDeviation,gender,gender_3_TEXT,age,degree,employment,location,otherComments,advicePrecision,adviceSummary
4,R_6R8VjHIwuYbAUaK,0,3,1,1.9,5.9,Moderately difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Charged more than necessary since it’s difficult to anticipate all the exits","",Yes,Moderately negative,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,I don't like being told what to do and I wanted to figure it out on my own.,Make sure you are looking at the correct trip segment to base your decisions on.  I think I was sometimes looking at the next segment instead.,Yes,No,Once in a while,Never,Once in a while,Never,Never,Female,"",65 and over,4 year degree,Retired,Portland OR,"Rather fun!  But I think I got cocky on the last 2 after doing well on 3, 4, and 5.  I think I was looking at the next segment or something.  Anyway, enjoyed the study.",Type B would be moderately better,"There was advice on when to stop and how much to charge.  I follow some, but with a few points difference."
4,R_3sQmbskdnLT5tmx,1,2,2,1.6,5.6,Moderately difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments","",Yes,Slightly negative,Neither positive nor negative,Did not follow the advice at all or only rarely,It wasn't that different from my own thinking.,Always charge 100% at the start of the game.,No and never had one,No,Daily,Never,Once in a while,Rarely,About half the time,Male,"",25-34,Less than high school,Employed part time,Ephrata PA,"No feedback, thank you!",Type A would be much better,"The """"Algorithm"""" provided advisements on how to proceed but I mostly ignored them, not that they were incorrect, but the one I did follow ended up screwing me over."
4,R_7vQLzHUnsez9SBr,1,3,2,1.8,5.8,Moderately difficult,Tried to charge just enough for the next stop to aim for faster charging,"",Yes,Extremely positive,Neither positive nor negative,Always followed the AI advice closely,"the AI was very efficient, so there was no reason not to follow its advice",Try to do more short charges than relying on full charges,Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,Usually,Rarely,Female,"",35-44,High school graduate,Employed full time,Bedford VA,"",Type A would be much better,"The advice helped a ton, it really minimized travel time"
4,R_7cwG6mncsYsYj4k,1,1,2,2.6,6.6,Slightly difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Extremely positive,Extremely positive,Always followed the AI advice closely,I was curious to see how their advice panned out and when it did i implemented it.,Minimize time spent charging whenever possible.,No and never had one,No,Never,Never,Once in a while,About half the time,About half the time,Female,"",25-34,Less than high school,Employed part time,"Saint Augustine, Florida","",Both would be equally good,Advice on when to charge up for multiple stops or just that one and when to not stop.
4,R_1y4sM8i4OwRlQox,0,2,2,0.2,4.2,Extremely difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Tried to charge just enough for the next stop to aim for faster charging,Charged more than necessary since it’s difficult to anticipate all the exits","",No,Neither positive nor negative,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,i figured the that ai would have some knowledge so that i didnt have to think about how much gas was being used,always make sure you have more then enough gas or youll end up paying 300 points which put you far from the goal,Yes,No,Never,Never,Once in a while,About half the time,Usually,Female,"",25-34,High school graduate,Employed full time,buffalo ny,"",Type B would be slightly better,to stop and charge just enough for the next stop then not stopping at all
4,R_5sdUBB4sqcEuVAw,0,3,1,2.25,6.25,Slightly difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Moderately positive,"",Always followed the AI advice closely,"After listening to it the first time and getting better results then my own, I listened to it whenever it popped up.","The tips provided to me were the easiest to understand, I'm not too sure how simpler to make it.",Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,Usually,Rarely,Male,"",18-24,Some college,Employed full time,"Wenatchee, Washington","",Type A would be moderately better,"The advice given to me told me when to charge, for how much, and when not to charge."
4,R_3sZ5ENyCF4Jyl9x,0,3,1,2.25,6.25,Extremely difficult,"","",Yes,Slightly positive,"",Always followed the AI advice closely,"Task is super complicated and mathy, needed all the help I could get. ","Follow advice of the advice, try and memorize it. ",Yes,No,Never,Once a month,Once in a while,Never,Never,Female,"",45-54,Some college,Employed full time,"Oregon City, OR, UNITED STATES","",Type A would be much better,"50, no, 42, 11, 26  ---I think about that. "
4,R_7zApgxyQEVwqWo0,1,3,1,2.3,6.3,Moderately difficult,Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,"",Yes,Extremely positive,Extremely positive,Always followed the AI advice closely,The previous rounds with no advice were unsuccessful. Taking the provided advice was worth trying.,Try an only get enough charge to go for the next two stops.,Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,About half the time,Rarely,Male,"",35-44,4 year degree,Employed full time,"Tampa, FL","",Type B would be moderately better,The advice was either not to stop or to exit and charge a specific amount.
4,R_3b3mxMhdPcAMc7L,0,1,1,1.4,5.4,Moderately difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Charged more than necessary since it’s difficult to anticipate all the exits","",Yes,Moderately positive,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,Sometimes it seemed like the next stop would be better to charge for too because it was pretty short,"If traffic conditions aren't green (orange or red), lean way more towards the higher end of the possibility than you think you might (even if it's orange and you want to aim for for the middle).",No and never had one,No,Never,Never,Once in a while,Rarely,Rarely,Other,Abinary transmasc,25-34,Some college,Unemployed not looking for work,"Conway, Arkansas","",Type B would be moderately better,"The advice was usually to charge enough for the first two stops and then after that more often to charge for just the next stop, I think?"
4,R_1cWZOprLebzK8p3,0,3,2,4.55,8.55,Moderately easy,"Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Slightly negative,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,"It seemed better to combine the shorter travel times when they add up to ~50. It got me under the highest reward goal, I don't know if maybe charging every stop could go lower.","For single stops of ~50 or above: charge to the maximum possible travel time, maybe 1-2 lower if you're feeling dangerous. For shorter stops: combine them up to ~50-60 and undercut the combined max by a little, you have the option to charge again in the middle if you get unlucky with traffic on the first stop.",No and never had one,No,Once in a while,Never,Once in a while,Rarely,Never,Male,"",25-34,Some college,Unemployed not looking for work,"Los Angeles, California","I marked """"rarely"""" for using navigation software, I mean it as a passenger.",Type B would be slightly better,It told me to charge just enough to meet the maximum possible travel time of the next stop.
4,R_7PXqmTAalqhKFV0,0,2,1,0.8,4.8,Moderately difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments","",Yes,Slightly positive,"",Always followed the AI advice closely,"I think I followed it, because it was making sense with what I was going to do anyway. ",Make sure you have enough charge to cover this and the next stop with traffic.,Yes,Only non-electric or hybrid car(s),Never,Daily,Once a week,Usually,Usually,Female,"",25-34,4 year degree,Employed full time,Ann Arbor MI,Fun!,Type A would be moderately better,"It said if I should recharge at a stop, if I should just charge enough for this segment, or charge enough to cover the next segment also"
4,R_5ExOF60SwhudwgF,1,3,2,1.8,5.8,Moderately difficult,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,"",Yes,Extremely positive,Moderately positive,Always followed the AI advice closely,I felt that the a.i. would calculate better than I could.,Follow the a.i. advice.,Yes,Only non-electric or hybrid car(s),Once in a while,2-3 times a week,Once in a while,Usually,Rarely,Female,"",45-54,Some college,Employed full time,"Del City, Oklahoma","",Type A would be much better,The advice I received was to recharge at almost every stop.
4,R_5KF0OXh0UaUpiQV,1,3,1,1.55,5.55,Slightly difficult,Charged more than necessary since it’s difficult to anticipate all the exits,"",Yes,Moderately positive,Moderately positive,Generally followed the advice but deviated sometimes when I thought I had a better strategy,"I wanted to experiment just how much charge I could get, so sometimes I would go over the 50% charge just to check.",Take your time to calculate the distance/time before deciding to go on with your decision. At the very most charge at 50% and then calculate.,Yes,Only non-electric or hybrid car(s),Never,Once a week,Once in a while,Usually,Rarely,Female,"",25-34,4 year degree,Unemployed looking for work,"Los Angeles, CA",No issues.,Both would be equally good,The advice that was given to me during the game told to charge at most 50% and decrease the charge when the situation calls for it.
4,R_7mffUgUXQFIFxpD,1,1,1,0.8,4.8,Neither easy nor difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Other (Please Decribe)","I think I realized what I was doing wrong in the end.  Instead of minimizing the number of charges, I should have remembered that it charged slower at the higher percentages.",Yes,Slightly positive,Slightly positive,Generally followed the advice but deviated sometimes when I thought I had a better strategy,"I usually did follow it, I think, because it was what I would have done normally.",I don't know.  I wish I would have really wrapped my head around the idea that the smaller charges weren't that bad.,Yes,Only non-electric or hybrid car(s),4-6 times a week,Daily,Once in a while,About half the time,About half the time,Female,"",35-44,2 year degree,Employed part time,"Lafayette, LA","",Type A would be moderately better,"The advice that was given during the game was pertaining to something about using just enough charge to make it to the next stop.  Also, there was advice on whether or not to charge at a particular station or location or whatever it was called."
4,R_6wvKC5IKKGxS7uz,1,1,1,0.8,4.8,Slightly difficult,Charged more than necessary since it’s difficult to anticipate all the exits,"",Yes,Slightly positive,Moderately positive,Always followed the AI advice closely,I felt the advice made sense I didnt feel misled so I followed the advice,Charge the minimum you can do at all stops,"No, but used to have one",No,Never,Never,Once in a while,Never,Never,Female,"",55-64,High school graduate,Retired,Birch run Michigan,no ty,Type A would be much better,"It told me to  not to stop at some stops and on some to only charge what is needed to get to next stop,"
4,R_6eJGw9h5sxvDT0D,0,3,1,2.65,6.65,Slightly difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Extremely positive,"",Always followed the AI advice closely,"I followed the advice exactly as it recommended the first time, and it results in <500, so I had no issue thinking the advice would guide me poorly and continued to follow it.","I think the advice given was perfectly fine. It helped me succeed as best as one can in this game. When I didn't have advice, I didn't do nearly as well, so there's nothing I coud recommend confidently.","No, but used to have one",No,Never,Never,Once in a while,Rarely,Rarely,Male,"",35-44,Some college,Unemployed looking for work,"Falls Church, VA",I enjoyed the game. Have a great summer too!,Type A would be much better,"First stop would charge to 50%. Don't exit at the second stop. If I remember correctly, you would charge at the next 2 stops for just enough to make it through and minimize charging time."
4,R_5fO0EJYRsqU8mvT,0,1,2,3.2,7.2,Slightly difficult,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,"",Yes,Slightly positive,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,I was thinking the same way but was glad to have my feelings backed up,Charge for 2 low rounds in a row so that you save time,Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,About half the time,Rarely,Male,"",25-34,4 year degree,Employed part time,Little Rock Arkansas,"",Type B would be slightly better,It told me to charge up for two stops so that i didnt have to charge at every stop
4,R_7OIk1BlzylCTg3N,0,1,1,2.45,6.45,Neither easy nor difficult,Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,"",No,Slightly positive,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,I felt the algorithm would know better than I did.,"When the traffic might be high, I was less likely to """"stock up"""" on a charge, because it would take longer and I might likely have to stop and charge anyway.",Yes,Only non-electric or hybrid car(s),Never,4-6 times a week,Once in a while,About half the time,About half the time,Female,"",45-54,4 year degree,Employed full time,"San Francisco, California","",Type B would be slightly better,"For the most part, I thought the advice was good. There was one time I disagreed, but felt the algorithm probably knew better than me, so I went with the advice anyway."
4,R_3lmG1CVkAvfvp89,0,3,1,1.7,5.7,Extremely difficult,"Tried to charge just enough for the next stop to aim for faster charging,Charged more than necessary since it’s difficult to anticipate all the exits","",Yes,Extremely positive,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,When it looked like the strategy would not work for the round,"Always charge more than you think you might need to barely make it, it is not worth the risk.",Yes,Only non-electric or hybrid car(s),Once in a while,2-3 times a week,Once in a while,About half the time,Rarely,Male,"",18-24,4 year degree,Unemployed looking for work,"Santa Clarita, CA","",Type A would be much better,It told me how to much to charge and when to stop.
4,R_3nGkxIZ3UeEE0Kw,1,3,1,2.25,6.25,Moderately difficult,"Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Charged more than necessary since it’s difficult to anticipate all the exits","",Yes,Moderately positive,Extremely positive,Generally followed the advice but deviated sometimes when I thought I had a better strategy,When I judged a decent gamble to not charge more,advice on how increments of charging per minute would affect total time taken,Yes,Only non-electric or hybrid car(s),Once in a while,4-6 times a week,Once in a while,About half the time,Rarely,Female,"",45-54,Master's,Employed full time,"Oxford, Mississippi","",Type B would be moderately better,It told me often to charge 50 at the first stop and then increments like 41 for subsequent
4,R_7NsNtLsozyzhXfi,1,1,1,2.65,6.65,Slightly difficult,Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,"",Yes,Extremely positive,Extremely positive,Generally followed the advice but deviated sometimes when I thought I had a better strategy,Not sure... I thought if I charged UP to the 50% it would be quicker in the next round when I needed to charge but it never seemed to be. When it's lower it charges fast so I think i kept it too charged if that makes sense.,"Basically look at your current round, and the next round, determine if you can """"quickly"""" charge for both rounds, if not just charge enough for your current round.",Yes,Only non-electric or hybrid car(s),Once in a while,4-6 times a week,Once in a while,About half the time,Rarely,Male,"",45-54,High school graduate,Employed full time,"Kingsford, MI",n/a,Type B would be moderately better,"IT made a lot of sense and wish I had followed it after that. I tried to do """"better"""" but did worse."
4,R_6iKfiIjkmkoaMQ9,1,1,1,2.3,6.3,Slightly difficult,Charged more than necessary since it’s difficult to anticipate all the exits,"",Yes,Extremely positive,Extremely positive,Always followed the AI advice closely,I chose the advice in the beginning because my time kept being higher than I anticipated so I wanted to understand more thoroughly on what to do and how to proceed. I followed the advice 100% and it helped me out a lot.,"""""You should charge a bit extra to avoid charging a lot again."""" I say this because we don't know the actual time added from the traffic so that 1-2% makes a huge difference in the end.",Yes,No,Never,Daily,Once in a while,Rarely,Rarely,Male,"",25-34,Some college,Unemployed looking for work,"Philadelphia, Pennsylvania",Amazing and fun study! One piece of advice would to tell people to only respond with the numbers when it comes to the comprehension check. I kept adding the minutes part and only changed it to only the number when it wouldn't let me through to the next part. Great study and I would love to work with you all again!,Type B would be much better,The advice that came with rounds 3 and 4 were extremely helpful and pretty much made me understand the game much better. The suggestions given gave out hints that cut down the time in all of my other rounds (except for the last one) and allowed me to understand the game from a better standpoint when it comes to time and how much the charging time matters when the round ends.
4,R_6n10cOogeXl2A1m,0,2,2,3.5,7.5,Moderately difficult,Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,"",Yes,Extremely positive,"",Always followed the AI advice closely,I looked at the suggestion and realized it should be me there the quickest.,"Look at the difference between the maximum time for each additional stop and add 30 minutes, then compare the charge necessary for each stop, if the time needed to charge for both stops is less than the time needed to charge just for the second stop plus 30 minutes then charge for both, if not charge just for the first stop.",Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,Rarely,About half the time,Male,"",35-44,4 year degree,Employed full time,"Mckinleyville, California",None,Type B would be much better,The advice I received was to charge enough for the first two stops then charge just enough at each subsequent stop.
4,R_62FmtRmhpkEKM1M,1,2,1,0.2,4.2,Extremely difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Tried to charge just enough for the next stop to aim for faster charging,Charged more than necessary since it’s difficult to anticipate all the exits","",Yes,Extremely positive,Extremely positive,Always followed the AI advice closely,I thought it would make me perform better.,pay attention to the energy,Yes,No,Never,Never,Once in a while,Never,Never,Female,"",25-34,Some college,Employed full time,"indianapolis, indiana","",Both would be equally good,I received advice about how much to charge my car depending on the stop that was currently up.
4,R_6imAZRDbNu0NCC8,0,1,2,2.6,6.6,Moderately difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Moderately positive,"",Always followed the AI advice closely,"Prior to receiving the advice, I was performing too poorly to receive a bonus. It's easy to incorporate outside advice when what you're doing on your own is going terribly. ",I had no issue with the tips provided. Try to charge just enough to cover the next one or two exits.,Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,Rarely,Rarely,Male,"",35-44,4 year degree,Employed full time,Bluffton SC,Thanks for the chance to participate!,Type A would be moderately better,"The advice suggested that I charge enough to cover the next two segments, the next single segment, or not to stop for a charge.  "
4,R_6SCv7VLOpTP57cy,0,2,2,4.7,8.7,Moderately easy,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Neither positive nor negative,"",Did not follow the advice at all or only rarely,I had a good strategy that I knew would do well so I just Ignored it mostly since it wouldn’t provide me an added benefit.,Recharge just enough to reach the maximum through 2 stops.  As long as the total is bellow 60 minutes maximum. When traveling between 2 stops under charge by 2-3%  since you are unlikely to hit maximum in both stops.,Yes,Only non-electric or hybrid car(s),Never,Once a week,Once in a while,About half the time,Never,Male,"",35-44,2 year degree,Employed part time,"Brooklyn, NY",Thanks for the fun study,Type B would be much better,Please recharge to the maximum it would take to reach the next stop
4,R_5OB1wnQmsejTXk2,1,2,1,1.35,5.35,Extremely difficult,"Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Charged more than necessary since it’s difficult to anticipate all the exits","",Yes,Extremely positive,Extremely positive,Always followed the AI advice closely,"I kind of felt that the game was taking it easy on me, and the way it was presented like mercy. ","Anticipate the time taking longer every time, rather than think you might get lucky with a low roll. Anticipate a high roll. ",Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,Rarely,Rarely,Male,"",35-44,2 year degree,Employed full time,"Bellefonte/State College, Pennsylvania","Some of the comprehension questions could have been written better. For example, the second set right before the game did not stipulate that you wanted an answer on *only* charging time. Not total time. So I was factoring in the +30 minute prepare to charge time into my answers. ",Type A would be much better,"It was well balanced, and assumed zero risk. I think it was more fair and conservative than what I would have by my self. Then again, I kept doing absolutely terrible on my own. So I guess it was better advise. "
4,R_7DAAiwHLGv3wEUv,1,2,2,1.1,5.1,Moderately difficult,Charged more than necessary since it’s difficult to anticipate all the exits,"",Yes,Extremely negative,Extremely negative,Did not follow the advice at all or only rarely,spite,i dont have any,Yes,No,Never,4-6 times a week,Once in a while,Usually,Rarely,Male,"",18-24,High school graduate,Employed full time,Taunton Massachusettes,no,Type A would be slightly better,It was suggesting what to charge at
4,R_1tQLV9Z2EOVl7MJ,0,2,1,1.15,5.15,Moderately difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Extremely positive,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,A few times I didn't agree with the strategy and felt maybe I could choose better myself.,each time you charge it costs 30 minutes plus the time it takes to charge. It's better to charge once for several road segments than to charge at each stop. It's better to charge when the battery is almost out.,Yes,Only non-electric or hybrid car(s),Once in a while,Daily,Once in a while,Usually,About half the time,Female,"",35-44,2 year degree,Employed full time,"Harrisburg, PA","",Type A would be moderately better,The advice was very helpful and told me when to charge and how much to charge (such as charge just enough for the next road segment). I didn't always follow it but I felt the strategy was good.
4,R_5r047u372qhHrUt,0,2,1,1.4,5.4,Slightly difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments","",Yes,Moderately positive,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,There were just times when I thought it was incorrect and in those instances I followed my gut instead.,Only get the minimum gas required that you'll think you need to complete the trip is my best advice.,Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,About half the time,Rarely,Male,"",35-44,Master's,Employed full time,"Morganton, North Carolina",N/A,Type A would be moderately better,The advice was telling me whether or not to stop and recharge at the next exit. It also suggested how much you should charge at each stop.
