adviceThoughts,sentiment_polarity,sentiment_subjectivity,total_bonus
I chose the advice in the beginning because my time kept being higher than I anticipated so I wanted to understand more thoroughly on what to do and how to proceed. I followed the advice 100% and it helped me out a lot.,0.375,0.5,2.3
I looked at the suggestion and realized it should be me there the quickest.,0.0,0.0,3.5
I thought it would make me perform better.,0.5,0.5,0.2
"Prior to receiving the advice, I was performing too poorly to receive a bonus. It's easy to incorporate outside advice when what you're doing on your own is going terribly. ",-0.061111111111111116,0.5805555555555556,2.6
I had a good strategy that I knew would do well so I just Ignored it mostly since it wouldn’t provide me an added benefit.,0.6,0.55,4.7
"I kind of felt that the game was taking it easy on me, and the way it was presented like mercy. ",0.2111111111111111,0.7111111111111111,1.35
spite,0.0,0.0,1.1
A few times I didn't agree with the strategy and felt maybe I could choose better myself.,0.15,0.3,1.15
There were just times when I thought it was incorrect and in those instances I followed my gut instead.,0.0,0.0,1.4
In the 4th round it seemed like an exact copy of the 3rd rounds advice so I figured I should just do what I thought was best,0.2625,0.2375,2.6
I figured it would help me shorten the time taken,0.0,0.0,2.5
"Sometimes, the advice seemed like it was going to guarantee that I would need an emergency charge.",0.0,0.0,0.8
I believe that AI can offer good advice for these situations.,0.7,0.6000000000000001,1.3
"The AI advice and my strategy were nearly the same, so I used it mostly, but that was the course of action I would have taken regardless. ",0.175,0.28125,3.95
I felt like I could be independent.,0.0,0.125,2.65
,,,1.0
"The advice was quality, seemingly. It lead me to win the two round where the advice was given and then 2 more without any real hassle. So I kept on going with the AI's advice and, for the most part, it worked well.",0.36,0.42000000000000004,2.65
The ai advice is what I was basically doing to start with.,0.0,0.0,3.8
"It was difficult to consider taking two times to get smaller chargers, rather than just fill up and go. ",-0.25,0.75,1.55
I was doing pretty badly so I figured it wouldn't hurt to try the advice.,-0.22499999999999992,0.8333333333333333,1.0
when It said not to charge i felt like i needed to,0.0,0.0,0.0
"I was not doing very well anyway, so I felt it was no harm to take the advice. I tried it out and it worked better so I stuck to it. I did try to take the risk and charge a little less than the maximum amount needed for segments sometimes, which worked fine one time and disastrously another.",0.010416666666666666,0.4444444444444445,3.0
"I am a little overly cautious, so if I thought adding a little more charge was appropriate to get the next step ",0.125,0.4,2.95
i felt like i had to follow the advice.,0.0,0.0,0.4
I tried to follow the AI advice but didn't always compute it correctly. I chose to follow the advice because I figured the AI knew a lot more about driving and charging EV cars than I did.,0.5,0.5,0.9
"I did not trust the command, I felt it wanted me to run out of charge.",0.0,0.0,0.0
Because it was in line with what i had in mind,0.0,0.0,0.8
Looked ahead and made a decision; sometimes I felt like the advice was too cautious.,0.0,0.0,2.45
I tried to stretch my charge longer.,0.0,0.0,0.4
At first I followed the AI exactly just to see if their rationale played out like it said. I immediately could tell that the results were better than my earlier rounds so I trusted their advice entirely the rest of the way.,0.2,0.4416666666666666,3.3
I figured they knew best,1.0,0.3,1.95
The advice made the prediction easy.,0.43333333333333335,0.8333333333333334,2.45
Made the work easier.,0.0,0.0,0.6
"I chose to incorporate the advice into my strategy because it optimized charging efficiency and minimized the risk of running out of charge. By following the tailored guidance based on traffic and charge requirements, I could better manage my travel time and avoid costly delays.",0.25,0.3,2.3
I always considered the advice.,0.0,0.0,0.4
I chose to trust the AI until it failed me at my game.,-0.45,0.35,3.9
The advice was similar to what I was initially thinking in the beginning when I was trying to perfect my strategy. Usign the advice made it so my time at the end would give me a bigger bonus.,0.25,0.475,2.3
I thought the advice was helpful but sometimes not relevant for the strategy I was trying to implement.,-0.2,0.9,2.1
i believed it will help me use less time,-0.16666666666666666,0.06666666666666667,0.8
There were times I felt the advice were wrong and had to follow my intuition,-0.5,0.9,0.0
I was not doing well until I got the advice,0.0,0.0,3.7
i had difficulty anticipating where/when to charge so i heeded the AI advice,0.0,0.0,0.5
I figured the advice would know better than I would,0.5,0.5,1.55
when i look at the situation and the instructions of the game,-0.4,0.4,0.0
"During the test run of following the AI's advice, I had a much better time than I did with my own strategy. Because of that, I decided to follow the AI's advice closely.",0.3666666666666667,0.5333333333333333,3.4
I did better after following the advice than I was before following it.,0.16666666666666666,0.2333333333333333,3.05
It seemed like it improved my scores,0.0,0.0,2.15
Generally I did follow the advice because I feel like that's how I would have played anyway. The advice was fairly generic and only really served to make you think a bit harder about both choices.,0.03,0.33999999999999997,1.35
"The advice was in agreement with what I was planning to do anyway, it only justfied my choice. ",0.0,1.0,0.4
The AI seemed better at reducing travel time then I was,0.5,0.5,3.05
,,,2.7
"The advice followed what I'd decided after the first two rounds except for the last two stages, so I followed that part as I would have done that regardless.  While the advice seemed like a good rule of thumb, looking at the times quoted it appeared that a single charge to 60% to cover the last two legs was better than doing two charges.  Basically I felt the advice was generally good, but there might be a bit of room to optimize if the charge % required was close to 50%.",0.29693877551020403,0.3401360544217687,2.9
I just thought the advice made sense,0.0,0.0,0.4
It would know better than me so I followed their rules,0.5,0.5,1.3
I looked at the advice and looked at the map to see if it was correct/helpful and chose to defer to it.,0.0,0.0,2.4
"I wanted to test out the AI strategy and compare outcomes. Since the AI was correct in avoiding the car running out of charge, but I wasn't left with too much extra charge, I trusted it.",0.0,0.05,1.4
The way I tried to do it wasn't working and the advice made a lot of sense and helped,0.0,0.0,0.3
I assumed they were right and followed the advice. They seemed to know more than I did on how to complete the game. Their advice never resulted in a penalty.,0.12142857142857141,0.45892857142857135,0.3
fI chose to for a better chance at earning a bonus. and added a few minutes to see how it effected,0.15,0.3,3.4
I feared it was wrong,-0.5,0.9,2.4
I did not spot it as I was focused on other information on the page.,-0.125,0.375,0.0
"I tried it the first time and it seemed to do really well, so I followed it from then on. For me to do better it would've taken a lot of time, like trying to figure out exactly how charge level affected times and trying to math out what ever segment would cost me in every scenario. That would take me more time than you give us so following the advice seemed reasonable.",0.2714285714285714,0.3547619047619048,4.2
Because it was really helpful to me,0.2,0.2,1.2
"What the advice said just made the most sense to me.  And this was needed, because I wasn't doing all that well on the first two rounds.",0.375,0.41666666666666663,2.0
"I struggle with the first two rounds, so a thought that I might as well listen to the advice. ",0.25,0.3333333333333333,3.3
The AI was proving to be accurate.,0.4000000000000001,0.6333333333333334,0.9
It seemed to work the est.,0.0,0.0,1.9
"I followed the AI's advice, but I felt that it could have helped a bit more during the other stops because I really wanted to get below 500 minutes but I wasn't able to with the AI's advice.",0.26875,0.425,0.9
It was often in line with my thoughts so I chose to follow it.,0.0,0.0,1.2
The strategy made sense. After a few rounds where the advice seemed accurate I decided to trust the AI more and more.,0.30000000000000004,0.43333333333333335,1.4
I chose to follow the advice because It is essential to manage my charge carefully during my journey.,-0.05,0.65,0.6
The advice was always correct.,0.0,0.0,1.1
"Since it was what I was pretty much going to do on my own, I just shaved 2 to 3 minutes of the suggestion and it worked well for the AI rounds.",0.35000000000000003,0.7333333333333334,1.5
I wanted to see how i would perform alone,0.0,0.0,0.4
I choose to incorporate the advice in to my strategy because it helped me to save enough time,0.0,0.5,1.6
Because from my calculations the advice was a genuine one,0.4,0.5,0.5
When I thought i knew a better strategy.,0.5,0.5,0.0
I didn't do well on the first rounds so thought I might as well try the AI advice. It worked so I continued to follow it.,0.25,0.3333333333333333,2.1
I the advice aligned with my perception of the charge I would need,0.0,0.0,1.4
it helped travel faster,0.0,0.0,2.8
I did not notice the advice the 1st time but I did the second time and took the advice,0.0,0.0,0.0
When I devised my own pattern but failed,0.04999999999999999,0.65,0.1
"I saw that is was consistently reliable and it made sense, so I chose to follow the advice completely. ",0.175,0.325,3.5
it was simple to follow and gave a better understanding of the game,0.033333333333333326,0.41904761904761906,1.5
"Following the advice actually allowed me to do better than my initial strategy of minimizing recharges. It worked repeatedly, hence I thought there was value in the rationale and decided to follow it.",0.125,0.175,3.4
didnt trust advice,0.0,0.0,0.0
I chose to incorporate the advice into my strategy because I realized it was good and it would help,0.7,0.6000000000000001,0.3
30 minute charging start up cost,0.0,0.0,1.5
I chose the AI advice because I was confident that it knew better than me in this scenario.,0.5,0.6666666666666667,2.1
I did not notice the advice,0.0,0.0,4.4
I needed more tactics to my strategies.,0.5,0.5,1.9
i believe in my strategy,0.0,0.0,0.3
I used the advice that was provided,0.0,0.0,1.2
,,,1.3
I had a better strategy,0.5,0.5,1.0
i corporate,0.0,0.0,0.7
the rationale provided by AI was very logical and applicable,0.325,0.325,2.1
"Charging is faster when the battery is low and slower when it’s high. By waiting until my battery is lower, i can take advantage of faster charging times. Also, Planning my recharges to cover multiple stops can help me maintain a smoother and more continuous journey, avoiding frequent interruptions.",0.152,0.32799999999999996,3.9
i trusted the strategy,0.0,0.0,2.6
I figured it understood the objective better than me.,0.25,0.3,0.8
The rationale always made sense to me and showed me how I should be thinking about decisions and framing my thought process.,0.0,0.0,2.7
"I didn't know if I could trust the advice completely. Meaning, I wasn't sure if it was a trick. So, I added a little bit of charging time - over and above - the advice time. If I had listened 100% to the advice, maybe I would have won more. So, that's on me for not listening 100%, although, I just could not push myself to t rust it fully. Adding a little more time felt more comfortable to me both times, but then, of course, I felt foolish for not trusting the advice more (both times!) when I saw that it was trustworthy.",0.275,0.518888888888889,1.15
"It worked out very well the first round, so I followed the advice the rest of the game",-0.037500000000000006,0.3583333333333333,2.75
I saw that it worked better than the rounds where I didn't have or use the advice (better score using the advice).,0.5,0.5,3.3
"Noticing how badly I was doing at first, taking too much time per round, I soon realized that my strategy was not saving time or practical to keep continuing.",-0.11249999999999996,0.4,1.75
I struggled so decided to listen but still failed.,-0.5,0.3,0.0
I figured it can't hurt,0.0,0.0,2.45
I thought maybe it would have a better strategy than me since I wasn't doing so well in the beginning.,0.5,0.5,2.1
It was when I wasn't sure it was any different or better than a different strategy that I was already employing.,0.25,0.6472222222222223,2.3
The advice was what I intended to do if the advice had not been given.,0.0,0.0,3.35
The advice was logical and made the most sense to use it.,0.375,0.375,0.95
I chose to incorporate the advice because the rationale and the logic behind it was sound after giving it due consideration and thought.,-0.041666666666666664,0.4916666666666667,3.4
It failed me miserably and was horribly inefficient on one round and I felt it was doing the same on the next.,-0.45,0.47083333333333327,2.25
I noticed how the AI was calculating what to charge to and that they didn't do any unnecessary extra charging by even 1%,-0.2,0.5,3.4
I thought I would give it a try because I was not doing well on my own (I didn't think the numbers I was getting were accurate) so what could it hurt.,0.5,0.8166666666666667,1.9
I was already going to do that anyway,0.0,0.0,0.2
"I had not thought of it, and it worked very well when I tried it the first time. ",0.225,0.31666666666666665,4.1
It worked to get the maximum bonus the first few times.,0.024999999999999994,0.21666666666666667,3.7
It was helpful when I first tried it so I continued to use it throughout the game.,-0.07500000000000001,0.3666666666666667,2.85
What did I have to lose? I was bombing on my own. It couldn't hurt.,0.6,1.0,1.7
If I thought the charge was plenty,0.0,0.0,0.6
I think that the AI advice would be more helpful to me than harmful. I felt that it had a better idea than me on how far I would be able to make it based on the charge I had left.,0.32,0.525,3.05
no particular reason. I just wanted to try it my way.,-0.08333333333333333,0.3333333333333333,2.75
"I was open to seeing the AI advice and followed closely which gave me great results the first time. The second time, due to the confidence of the previous results, I followed the advice blindly.",0.03690476190476192,0.3988095238095238,1.4
I felt like it was good advice to follow.,0.7,0.6000000000000001,1.9
I tried to guess that the extreme would not happen and changed slightly because of that.,-0.14583333333333331,0.5833333333333334,2.65
"I noticed the advice given by the AI to be quite good, It seemed on average just getting by the bare minimum charge is what should be strived for since having a lower charge meant faster charging and less time spent at the stops.",0.06666666666666668,0.25333333333333335,3.5
I was trying to do it myself to check if can perform better than AI.,0.5,0.5,1.55
it was a good idea but situational and not always feasible,0.7,0.6000000000000001,0.75
I checked how much time charging would cost just covering one segment versus charging enough to cover two segments.,0.1,0.35,2.65
I always tried to follow the advice.,0.0,0.0,1.35
The advice made sense and it seemed to work.,0.0,0.0,3.1
"Checking the time, traffic, and the remaining battery, I took different initiative. ",0.0,0.6,0.95
"I wanted to save as much time as possible, so I squeezed the margins.",0.1,0.6,1.55
Sometimes I just felt like I would make a better call than the advice.,0.5,0.5,0.0
Just went by my own intuition.,0.6,1.0,0.75
was focused on the task and didn't notice advice,0.0,0.0,1.9
I figured it would be more correct than me just guessing the answer,0.5,0.5,0.4
I like to be risky and push my luck sometimes.,0.0,0.0,0.4
"I did use the advice, sometimes just by tweaking the percentage a point or two.",0.0,0.0,1.5
Because I thought it could help to make wise decisions.,0.7,0.9,2.1
I already had an idea of how I was going to go about it so the advice wasn't all the useful to my strategy.,0.3,0.0,2.35
It enabled me to escape the penalty charges on low battery level.,0.0,0.3,0.3
I figured it must be there for a reason!,0.0,0.0,2.25
"If I felt like my strategy would be faster I didn't listen to the AI, but sometimes it taught me a better strategy",0.5,0.5,1.4
"Since it worked for the first round with advice, I felt it would probably work for the second.",0.016666666666666663,0.24444444444444446,2.1
Because it gave me good advice and get a little better understanding,0.33749999999999997,0.5333333333333333,1.5
i basically followed my instinct and the advice,0.0,0.0,0.3
The advice wasn't that important,0.4,1.0,1.9
i followed it but not always,0.0,0.0,0.0
I thought the advice in some instances was the better option but other times I thought it was best to push my luck,0.4583333333333333,0.39166666666666666,1.3
rationale and maths,0.0,0.0,0.0
"Trusted in the AI, it helped the first time so I continued using it.",0.25,0.3333333333333333,2.45
"I did pretty poorly Rounds 1&2 because I was overly cautious and overfilled. When I took a chance on the AI advice, I did much better Rounds 3&4. Also, it provided an easy pattern to follow, which was to charge small and often.",0.10666666666666666,0.6666666666666667,3.15
I did,0.0,0.0,0.7
I made guesses about how much charge I would actually need based on the information given,0.1,0.15000000000000002,0.0
It only made sense to fill up fully at first,0.125,0.6666666666666666,0.8
I can do the math myself,0.0,0.0,1.55
The advice were basically right,0.2857142857142857,0.5357142857142857,0.4
because i calculated the time and battery i needed and found out i was good to follow the advise the AI provided,0.7,0.6000000000000001,1.0
Not all that positive to my sometimes,0.22727272727272727,0.5454545454545454,1.5
i incorporated the advice into my strategy,0.0,0.0,1.5
It was the better course of action,0.3,0.3,1.15
My strategy was different from the one from the advice.,0.0,0.6,1.4
"The advice made me better understand how to try and minimize my charging time instead of trying to charge the most I can to get more of a bonus, which worked!",0.5416666666666666,0.5,1.5
I followed the strategy because it made very clear sense. When I followed it I saw it worked great and it helped me to make similar choices in future games.,0.2325,0.44333333333333336,2.3
It seemed to work in reducing my time,0.0,0.0,3.0
"I realized it was just telling me to charge enough to get to the next stop, so I ignored it at least once when I wanted to combine trips.",-0.09999999999999999,0.3,2.95
i thought i had a better strategy,0.5,0.5,0.0
it made sense to me so i actually incorporated it into my strategy,0.0,0.1,0.4
I choose to incorporate the advice because it made my strategy better,0.5,0.5,2.25
I wanted to use mine,0.0,0.0,0.0
the help was not that important,0.4,1.0,0.0
I INCORPORATED THE ADVICE BECAUSE IT WAS QUITE ACCURATE AND CORRECT. ALSO WHEN I INCORPORATED IT THE FIRST TIME IT WORKED. I ALSO DID MY CALCULATIONS AND THE ADVICE ALIGNED WITH MY CALCULATIONS,0.32500000000000007,0.4833333333333334,1.55
I just decided to follow the advice and noticed it worked for me,0.0,0.0,2.3
Because the idea is progressive and it saves me time,0.0,0.0,4.1
It seemed trustworthy and helpful,0.0,0.0,1.4
"Considering I didn't do so well in the previous rounds, I decided to follow the advice to see how I would fair.",0.26666666666666666,0.5333333333333333,0.4
I noticed it was the best for managing travel time,1.0,0.3,1.9
"I was trying to use less energy on the 5th one, but that was a mistake.",-0.16666666666666666,0.06666666666666667,2.45
I choose to follow because I was doing poorly first 2 rounds,0.25,0.3333333333333333,1.95
I needed more help and strategies after two rounds of game,0.04999999999999999,0.45,2.4
it took into considerations the journey,0.0,0.0,1.5
I choose to incorporate the advice because I felt the AI would know better and would give a better outcome.,0.5,0.5,1.5
The suggestions made logical sense so I used the advice.,0.25,0.25,2.25
"Well, I wasn't doing well on my own, so thought I'd take the advice.",0.6,1.0,1.3
I felt like it was good advice.,0.7,0.6000000000000001,2.6
I trusted the AI calculations.,0.0,0.0,0.2
"The first time I just wanted to see how well it worked, and since it worked well, I did it again.",0.25,0.3333333333333333,3.2
The advice made sense for the scenarios so I choose to follow the suggestions.,0.0,0.0,0.2
I mostly followed the AI advice except when it deviated from my previous strategy that had worked pretty well for me,0.19444444444444445,0.5555555555555555,3.8
I didnt have a good strategy and it made sense.,0.7,0.6000000000000001,1.7
"I'm not sure, just my feeling at the time",-0.25,0.8888888888888888,2.8
It worked and made sense when taking into account the longer charging time for higher numbers and the automatic 30 minute addition everytime you needed to charge.,0.25,0.5,3.9
"It was early on and i realized my strategy to charge every time to just the bare minimum to pass was not working within the point system, so I was all ears for the advice. I did a bit of math on the time and noticed it would get me with in the .02 & .04 bonus range, so I thought it was a good start and to refine from there.",0.2833333333333333,0.3333333333333333,2.4
"I mostly thought the advice made sense, but I thought in some cases charging more than 50% would save time at the next stop.",0.3333333333333333,0.3333333333333333,1.8
I followed the advice because I assumed the AI would know more about number strategy and estimations than I would.,0.5,0.5,1.7
If the advice seemed to make sense I followed it.,0.0,0.0,2.8
I noticed that the amount of charge given by the advice matched the amount of charge I needed to reach the next stop if traffic was at the maximum. This sounded like sound advice to me.,0.2,0.2,3.1
"Again, it was what I was already doing anyway so when it was there, I followed it.",0.0,0.0,2.85
What made me choose whether or not to incorporate the advice into my strategy was how useful it was in the situation I was in at the time.,0.3,0.0,0.4
Based on not having enough charge to make it,0.0,0.5,1.2
I thought the AI could help because I was failing before. I ended up failing regardless.,0.0,0.0,0.4
depended on whether I believed the ai results,0.0,0.0,0.4
made the quest make more sense,0.5,0.5,1.15
This seemed like the best strategy to take in order to get to the destination in the fastest time possible.,0.5,0.65,2.85
"I had little experience with the game and hadn't thought of my own strategy, so I decided to try the AI's strategy.",0.004166666666666652,0.6333333333333333,1.2
"whether it seemd good or not. your 50% and below was a little off. 40-50 each % increased by 3 min. this continues to about 75ish so 75 was actually viable. Not sure the per minute on the lowest levels (its cumbersome to check every number individually, I tried using the arrow keys to move the slider one a t a time but didnt work)",0.05249999999999999,0.49777777777777776,2.2
"Numbers don't lie and when I saw that the advice was helping me, I decided to incorporate it each time.",0.0,0.0,1.95
"If the advice recommended only charging enough for one stop, I would consider the stop after and whether I thought I'd lose more time by stopping to charge twice or charging all at once at a slower rate.",0.16666666666666666,0.6666666666666666,2.85
"I believe I followed the advice mostly, if maybe going over the charge it asked me to make, just in case.",0.5,0.5,2.1
I was not doing well until I took the AI strategy and then understood what it was doing.,0.0,0.0,2.3
I figured the advice would be helpful since I wasn't doing too well beforehand.,0.0,0.0,1.0
"I used the advice, because I was having a hard time keeping the time low. The advice rounds helped me do better in future rounds.",0.05208333333333333,0.36666666666666664,2.65
"Sometimes it made more sense to charge more to cover the next 2 segments, rather than stop at every stop which added an extra 30 minutes.",0.25,0.275,3.2
I was open to the suggestions,0.0,0.5,3.3
"I was open to trying different strategies. Since my first strategy (getting extra charge more than once) did not work, I thought it would be a good to listen to its suggestion of doing the exact amount for each trip.",0.24285714285714285,0.4119047619047619,1.95
"I chose to incorporate it because I was not doing well at the beginning and figured it knew better than I did. I was proven right by success in the round in which I followed its advice, so I continued to follow it.",0.22142857142857142,0.3589285714285714,3.7
I tried to be a little more aggressive with the charging so I could charge less on subsequent stops.,0.036458333333333336,0.2791666666666667,2.35
"I was not doing well without the advice, so I had nothing to lose.",0.0,0.0,1.15
I thought it would help me,0.0,0.0,3.25
"I mostly followed it to the letter but was going in that direction before the advice came up, figuring it's safer to never hit the penalty even if my total reward went down.",0.11481481481481481,0.512962962962963,3.95
"It was a lot easier for me to make a decision, and the advice usually led to better results.",0.125,0.375,2.45
The first time I thought I would try the advice since I hadn't done well the previous two times.  The previous two times I had been trying to optimize how little I charged while the advice went for more charges for shorter times.  And this ended up being a better strategy so I followed this for the second round as well.,0.06614583333333335,0.3208333333333333,3.3
"The AI was able to make decisions more quickly than I can, so I followed its advice.",0.4444444444444444,0.5416666666666666,1.8
I incorporated the advice into my strategy because I noticed that the arrival time was shorter.,0.0,0.0,2.65
I choose to incorporate the advice into my strategy because it was better than my strategy.,0.5,0.5,1.5
The first few times all worked.,0.024999999999999994,0.21666666666666667,0.9
"I was already charging to full at the start anyway, because the car always started at 0%.",0.35,0.55,1.6
"I only switched things up the last few rounds, since there wasn't any advice available and I had to figure out what would work best for me. ",0.24,0.3733333333333334,2.25
"I realized after I followed the AI, it yielded much better results than the initial strategy I tried.",0.25,0.25,3.35
"I made my own decision, it just happened to line up with the AI.",0.6,1.0,2.6
"I did follow it almost exactly. I was mostly curious if it would do better than my own guesses, which erred on the side of caution.",0.3125,0.6875,1.9
By looking at the information I was provided and my gut feeling,0.0,0.0,1.15
Forgot to look for advice,0.0,0.0,2.7
I chose to incorporate the advice given when it was given and used this later on when formulating my own opinion.,0.3,0.5,2.1
I tried it on the first one and saw that they made sense and got me there fast so I did it again for the second,0.15,0.3111111111111111,3.35
"I decided to follow it exactly the first round it was given, and I performed very well that round, so I also decided to follow the advice in the future.",0.049999999999999996,0.3013888888888889,3.05
I could not produce an answer that was low enough for a bonus so I  had nothing to lose by following the advice of the AI.,0.0,0.3,1.5
I didn't know what i was doing for the first few rounds so I gave the AI a shot and it worked. I kept doing it after that,0.024999999999999994,0.21666666666666667,3.0
"I decided since you guys made the game, that the advice could either barely get me the bonus or be really efficient. I decided to fully commit to the advice and I was rewarded with the best bonus for following the advice.",0.16999999999999998,0.22000000000000003,2.8
It helped me learn how to better manage my time and stops.,0.5,0.5,2.0
"The advice was similar to what I was going to do myself, so I felt confident to follow it.",0.25,0.6166666666666667,1.35
It made sense,0.0,0.0,1.45
I thought I had enough charge sometimes.,0.0,0.5,2.3
It had a similar strategy to what I was doing.,0.0,0.4,3.25
Using math to see how the time would affect the game,-0.4,0.4,0.6
It made sense and the task was difficult,-0.5,1.0,0.6
I figured it knew what it was doing,0.0,0.0,3.0
I was struggling to find the groove before the advise so I used it to positive effect.,0.22727272727272727,0.5454545454545454,1.15
"I thought that the advice could calculate better than I could, so I generally followed it.",0.275,0.5,0.6
"When I followed the advice, I shortened the length of the trip",0.0,0.0,3.55
it worked in reducing time spent,-0.1,0.1,3.7
"I followed the advice when it matched my strategy, which was most of the time. But overall, it didn't affect my choices as the advice provided was obvious and not very strategic from what I could assess. ",0.1,0.325,0.8
sometimes I thought I was thinking ahead more than the advice was,0.5,0.5,1.75
It would not matter.,0.0,0.0,0.3
"I thought there was a better strategy because I always assume a full tank is best. However, thinking the instructions through, I realized I was wrong. I did incorporate the strategies during the advice rounds, but I also decided to """"experiment"""" too. ",0.3375,0.5625,1.75
I decided to go with the advice the first round it was given and I came under 500 minutes to finish. I thought I had an excellent chance of doing that again if I followed it again.,0.35000000000000003,0.5777777777777778,1.5
The feel of it,0.0,0.0,1.95
I tried to incorporate the AI's strategy as it obviously worked well and brought my times in under 500 minutes which I was not able to do in the prior rounds.,-0.08333333333333333,0.375,3.05
I tried but wasn't for sure how much charge to do at the stops,0.35,0.5444444444444444,0.2
I genuinely did not see it. Totally forgot it would pop up.,0.2,0.625,2.55
I generally trusted the math of the AI to pick the most advantageous route.,0.275,0.5,0.8
I chose to take the advice since I was not doing well.,0.0,0.0,0.75
Gut feeling.,0.0,0.0,0.2
The calculations made sense and added up,0.0,0.0,1.15
It made sense to me.,0.0,0.0,1.35
When I thought it was reasonable I followed,0.2,0.6,1.4
Doing the math to make within the time limit for the bonus.,0.0,0.0,2.4
The advice helped me so I kept following it.,0.0,0.1,3.3
I studied whether the advice made sense based on the pre existing math calculations. If it was a positive indicator I used it.,0.22727272727272727,0.5454545454545454,2.55
I would say I followed it as well as I could understand it.,0.0,0.0,1.65
i looked at how much charge i had left and made the choice.,0.1,0.1,0.0
I didn't see much difference and felt my own strategy would work also.,0.4,0.6,0.0
The AI seemed to know what it was doing.,0.0,0.0,0.9
The advice matched the line of thinking that I was following.,0.0,0.1,2.9
I was already doing what the AI said on my own.,0.6,1.0,2.7
The AI seem to know what it was talking about.,0.0,0.0,0.75
The advice was good and made me preform much better.,0.6,0.55,2.65
I considered it but i would always double check myself to make sure it was right.,0.2619047619047619,0.4748677248677248,3.95
I wanted to full up more.,0.425,0.525,1.7
,,,
I tried to follow the advice,0.0,0.0,0.4
I made the right choice following it.,0.14285714285714285,0.31785714285714284,0.0
it seemed the better option to choose advice given,0.5,0.5,0.4
"My own strategy, up to that point, was taking too much time and I was not getting any bonuses. I thought that the AI strategy might help me achieve a score that would be bonus-worthy.",0.4,0.6,2.2
If if fit the situation needed,0.4,0.4,0.3
Because I felt that it was useful.,0.3,0.0,0.75
"I thought that it seemed like a good idea, so I listened to the advice.",0.7,0.6000000000000001,0.4
It conformed with my thinking anyway.,0.0,0.0,3.55
It was calculating the odds the same way I would.,0.0,0.125,1.75
"I tried it for the first round it was provided and it was successful, so I continued to look to it for assistance, but didn't always follow it exactly. ",0.2625,0.48333333333333334,3.7
"I took it's advise 100% because it looked completely accurate. I always double checked it, though. I expected to get tricked after awhile. It also took most of the fun out of the game.",0.11666666666666668,0.35555555555555557,4.1
