bestTip,sentiment_polarity,sentiment_subjectivity,total_bonus,con.precise
"""""You should charge a bit extra to avoid charging a lot again."""" I say this because we don't know the actual time added from the traffic so that 1-2% makes a huge difference in the end.",0.13333333333333336,0.3666666666666667,2.3,1
"Look at the difference between the maximum time for each additional stop and add 30 minutes, then compare the charge necessary for each stop, if the time needed to charge for both stops is less than the time needed to charge just for the second stop plus 30 minutes then charge for both, if not charge just for the first stop.",0.020833333333333336,0.35,3.5,2
pay attention to the energy,0.0,0.0,0.2,2
I had no issue with the tips provided. Try to charge just enough to cover the next one or two exits.,0.0,0.25,2.6,1
Recharge just enough to reach the maximum through 2 stops.  As long as the total is bellow 60 minutes maximum. When traveling between 2 stops under charge by 2-3%  since you are unlikely to hit maximum in both stops.,-0.1375,0.5375,4.7,2
"Anticipate the time taking longer every time, rather than think you might get lucky with a low roll. Anticipate a high roll. ",0.16444444444444442,0.5577777777777778,1.35,2
i dont have any,0.0,0.0,1.1,2
each time you charge it costs 30 minutes plus the time it takes to charge. It's better to charge once for several road segments than to charge at each stop. It's better to charge when the battery is almost out.,0.3333333333333333,0.3333333333333333,1.15,2
Only get the minimum gas required that you'll think you need to complete the trip is my best advice.,0.3666666666666667,0.5666666666666667,1.4,2
Add up the time it would take to charge on top of how much overall time you have left in each road segment and add it to your overall time to see if it's worth it to stop,0.16,0.12,2.6,1
Take advantage of the fast charging in the higher traffic segments.,0.225,0.55,2.5,1
I think telling the player how to maximize their distance while minimizing their stops would be helpful.,0.0,0.0,0.8,3
"I think the advice was right, I wouldn't change a thing.",0.2857142857142857,0.5357142857142857,1.3,3
"Ensure you have enough battery capacity to cover multiple legs of the trip when stopping if they're below 50% combined. In addition, look ahead to the further stops. If you're going to come upon one where nearly the fully capacity will be used, it may be advantageous to charge closer to 50% now so when that time comes you will not need to charge as much.",0.06000000000000001,0.31999999999999995,3.95,2
Charge and keep note of the next two stops and the amount of traffic.,0.0,0.0,2.65,3
,,,1.0,1
"If this is instead of the AI's advice, I can't really think of any. Just keep a close eye on your charge between rounds and try to roughly estimate how much you'll need and then , just to be safe, add a few extra percent onto that.",0.10000000000000002,0.25000000000000006,2.65,3
Expect traffic times to be on the higher side of the range.,0.25,0.5,3.8,1
"The most confusing part was taking quick charges for segments instead of just avoiding more stops.  It seemed to me, that the more I stopped, extra 30 minutes would cause it to be less productive.  I was wrong about that",0.10833333333333331,0.43333333333333335,1.55,3
none,0.0,0.0,1.0,1
i did very bad and noone should follow my advice,-0.9099999999999998,0.8666666666666667,0.0,2
I thought it was fine and made sense the way it was.,0.4166666666666667,0.5,3.0,1
look at everything involved.  take the few extra moments to calculate fully!,-0.1,0.1,2.95,3
charge more than you think you need,0.5,0.5,0.4,2
I think you should continue to show that advice but also you could add that the driver should make sure they use the advice on the right segment of the road.,0.39285714285714285,0.7123015873015872,0.9,1
I think you should display an image or a video of the car in motion. This would make the game more fun.,0.13333333333333333,0.3666666666666667,0.0,3
Charge for first two trips and pay attention to the colors of the line connecting the stops,0.25,0.3333333333333333,0.8,2
"Take risks; also, you start at 0. ",0.0,0.0,2.45,1
I would need to play this game more to get better at it ...,0.19999999999999998,0.4666666666666666,0.4,3
I would say not to panic when you see upcoming trips that will take up a large chunk of time and instead focus on each stop as its own.,0.40714285714285714,0.7142857142857143,3.3,3
Charge fully at the start of each round and keep an eye on how much time has elapsed,0.0,0.30000000000000004,1.95,1
none,0.0,0.0,2.45,3
none,0.0,0.0,0.6,2
"To optimize your travel time, always plan your charging stops based on the upcoming traffic and distance. Charge just enough to cover the next segment if the total required charge is high, as charging slows down when the battery is fuller. This strategy helps you avoid unnecessary delays and prevents running out of charge mid-segment.",-0.06592592592592593,0.49648148148148147,2.3,2
To provide how much percent needed to charge.,0.2,0.2,0.4,1
"I usually combine stops that are smaller (>10 minute travel time) and fuel at one spot beforehand. Therefore, I can not waste time with charging at every single destination.",-0.055357142857142855,0.24107142857142858,3.9,3
I think the tip that was shown was the best tip to be shown and can be used no matter what round.,0.4,0.35,2.3,1
I would suggest that new players are reminded they can preview future stops by clicking on the colored line as I caught myself forgetting to do so during the first two rounds.,0.12878787878787878,0.3042929292929293,2.1,1
recharge for the next trips rather than full charges,0.175,0.275,0.8,1
I'd suggest you always try and charge but consider the time spent while charging,-0.1,0.1,0.0,1
Cover multiple short segments with one charge (up to 2) but recharge for each long segment.,-0.016666666666666666,0.2333333333333333,3.7,2
how to anticipate minimum % of charge needed to achieve destination,0.0,0.0,0.5,1
"Honestly, I would just try to explain the rules with the time a bit better. Maybe with a highlighted graphic.",0.3666666666666667,0.6,1.55,1
i think the tips displayed were good,0.7,0.6000000000000001,0.0,1
The time it takes to charge is INDEPENDENT of the amount of battery left in the car. This is very crucial advice that I did not realize until a couple of rounds in.,0.0,0.375,3.4,1
When the traffic is light it might save time to charge for 2 stops instead of one.,0.4,0.7,3.05,2
You should charge enough to cover this stop and the next one.,0.0,0.25,2.15,1
"I think how the advice is currently displayed is acceptable, I wouldn't tell people exactly what to charge to because then there wouldn't be any challenge to it. Type A advice would improve performance definitely because it tells you what to do, but type B serves as better advice. ",0.1875,0.4125,1.35,1
Those tips were helpful but maybe suggesting how much time to charge would be helpful too.,0.2,0.2,0.4,2
Indicate how much slower each 5% increase in charge is as the battery gets closer to 100%,0.2,0.2,3.05,3
Look ahead to ensure that you charge at stops to have enough to minimize charges.,0.0,0.5,2.7,3
Look ahead and see how best to group the stages into legs which require about 50% total charge.  This will balance the number of chargings and the charging times.,0.5,0.525,2.9,1
I think the tips were fine,0.4166666666666667,0.5,0.4,2
Advice and simpler directions,0.0,0.0,1.3,3
Consider the first three segments to determine if you should charge enough to get through them.,0.125,0.41666666666666663,2.4,2
"Trust the AI advice. Take time to ensure you don't run out of charge, since the penalty is high.",0.16,0.5399999999999999,1.4,3
Overfill because trying to estimate what is just right will not get it.,0.2857142857142857,0.5357142857142857,0.3,2
pay attention to the numbers and charge enough to avoid having to stop at the next segment.,0.0,0.25,0.3,1
calculate and only charge to the bare minimum for red and green distances,-0.037500000000000006,0.35000000000000003,3.4,3
Charge and take risks,0.0,0.0,2.4,1
"I cannot comment as I did not spot the advise, sorry.",-0.5,1.0,0.0,2
"Try to charge for as many segments as you can while keeping the amount charge at or below 50%.

One time I think I got screwed in the practice. It seemed the segment would take a certain amount of charge at most, like 47%, and so I charge to 47%. It ended up taking exactly 47% and I got dinged for making it but arriving with 0% so maybe always have 1% in reserve.",0.3660714285714286,0.45535714285714285,4.2,1
"To make sure that I don't run out, I charge just enough to get to the next stop",0.16666666666666666,0.46296296296296297,1.2,3
Charging 50% or less is faster,-0.16666666666666666,0.06666666666666667,2.0,2
"When you charge, try to charge enough to make multiple trips. ",0.0,0.25,3.3,3
Listen to what AI suggests.,0.0,0.0,0.9,3
Charging when the battery is the lowest so you don't have to stop the first two stops,0.25,0.3333333333333333,1.9,1
"I think having the AI give a specific range to add to the car's charge would have been helpful instead of just saying """"extra"""". Or if the AI knew what the traffic time would be for future stops, then that would have been helpful too. I don't know if the Rationale bit helped as much. ",0.05,0.1375,0.9,2
What was shown is good.,0.7,0.6000000000000001,1.2,2
"You should try to go around 50 percent or so when you need a """"big"""" fuel intake. If you take anymore than that, precious time will be wasted. Also, you shouldn't go much less than 30 otherwise time is also being wasted as you need to wait a minimum amount of time (which is large) to even start a small amount of charge.",-0.014625850340136057,0.28503401360544217,1.4,1
N/a,0.0,0.0,0.6,3
The exact charge to be done.,0.25,0.25,1.1,1
"Maybe show the maximum distance you can travel on a 100% charge and the expected rate of battery depletion based on traffic.  Like stuck in traffic drains the battery at a set rate lowering the actual miles (km) you will travel on said 100% charge.  It would still have a variable range just as traffic will add 10 - 20 minutes, intead it depletes x% of battery per minute in traffic.",-0.05,0.25,1.5,3
Always have more battery person than the actual time travel,0.25,0.3,0.4,2
The advice was actually a good. Just calculate the distance plus the actual time to know how to and when not to recharge.,0.35,0.35000000000000003,1.6,3
That they should stop for charge,0.0,0.0,0.5,1
Crunch the numbers.,0.0,0.0,0.0,1
"Fill up at the start. Then only fill up if you don't have enough charge to cover the worst case. If you need to charge, charge just enough to cover the worst case. In hindsight, it might be best to charge more than this though to minimize future charges.",-0.0625,0.615625,2.1,2
"Don’t underestimate how much charge you think will get you through the route, always give yourself enough to finish, even if it takes a little longer",0.00416666666666667,0.39999999999999997,1.4,2
the game play is okay the only thing is if there can be more improvement on the graphical representation,0.15,0.6,2.8,1
take the advice!,0.0,0.0,0.0,1
You should charge this percentage at this stop,0.0,0.0,0.1,1
"If needing to charge and sum of multiple stops including current charge level is over 50, only charge the exact amount needed to cover the current stop. ",0.05,0.41,3.5,3
the advice can be more specific,0.25,0.3125,1.5,2
"""""If you charge extra at this stop enough to cover the travel through this segment and the next, you would save x amt more time than...""""",0.125,0.275,3.4,1
dont know,0.0,0.0,0.0,2
I think it is advisable to follow close on the advice and also minimize the number of times u charge,0.0,0.0,0.3,2
This is NOTHING like a real EV don't try to use your experience,0.2,0.30000000000000004,1.5,2
You could provide actual charging numbers instead.,0.0,0.1,2.1,2
I didn't see what was shown but the best advice is summed up by the first three options in the earlier question on what strategy was used,0.4166666666666667,0.37777777777777777,4.4,1
I calculated for next two stops to know how much to charge.,0.1,0.1,1.9,2
"make sure to charge more then enough, the maximum traffic time might come to effect",0.3333333333333333,0.6296296296296297,0.3,2
"Have none actually, others should use their head like I did with mine",0.0,0.1,1.2,3
Charge sufficiently to cover trips.,0.0,0.0,1.3,1
charge the amount they needed for the trip and add extra 5,0.0,0.1,1.0,3
i think your help should start rom the beginning,0.0,0.0,0.7,3
I believe the tips displayed in the round of games is good enough. it contains just the right amount of information needed.,0.1964285714285714,0.5089285714285714,2.1,3
"Charging is faster when the battery is low and slower when it's high. By waiting until your battery is lower, you can benefit from quicker charging times. Running out of charge on the road triggers an emergency service that costs an extra 300 minutes. And also ensure you have enough charge for both the current and next stop which reduces the risk of depleting your battery mid-route. Planning your recharges to cover multiple stops helps maintain a smoother and more continuous journey, avoiding frequent interruptions.",0.08444444444444445,0.2933333333333333,3.9,1
"do not over charge your car, charge to the required minutes to reach a stop",0.0,0.0,2.6,3
make sure that you take into account the extra 30 min that just pulling over to charge takes.,0.25,0.4944444444444444,0.8,1
Try and make as few stops as you can.,-0.2,0.1,2.7,3
Charge just enough (and a tiny bit over...TINY!) to move forward. Do NOT do what I did and max charge repeatedly. This was my fault.,0.0,0.5,1.15,3
"I would say following the advice given is the best - If the next twostops added up to less than 100 percent of your allotted time, then bundle two stops in one charge, otherwise, go charge for each stop, charging just enough to get there, considering worst-case traffic",0.16666666666666669,0.19333333333333333,2.75,2
"The advice for short trips to focus on smaller/shorter charging times is useful and leads to efficient times, but on longer trips, it's only decent with the results. ",0.11666666666666667,0.4916666666666667,3.3,3
"You should only charge just enough to get you to the next stop considering the maximum travel time. Also if you have enough leftover to make it to the next stop, then you should skip that stop.",0.0,0.4,1.75,2
I'm not sure because I didn't pass on anything,-0.25,0.8888888888888888,0.0,1
Basic math and overestimate,0.0,0.125,2.45,3
You should charge enough for the next two stops.,0.0,0.25,2.1,2
"Always charge to just one above the longest travel time as apparently if you're at zero even at the end, you'll get a 300 minute penalty. Always better to be safe than waste 300 minutes.",0.17,0.29,2.3,1
Look at multiple segments to determine .best recharging strategy,0.0,0.0,3.35,1
The penalty of running out of charge is significant so make so you have a enough to cover each stop,0.1875,0.6875,0.95,2
"If two consecutive trips are relatively short, even with traffic considered, prepare to charge just enough to make it through those stops beforehand.",0.0,0.4,3.4,3
"Use math on an excel workbook. It took me a round or two to figure it out. I also did not realize the traffic numbers were the same the first five rounds until about round 3. I expected the latter 2 rounds to be 5 rounds, not 2.",-0.041666666666666664,0.27638888888888885,2.25,3
I'm not sure what tip I could give future players aside from not changing anymore than the absolute worst case scenario (like the AI advice displayed)  because the time it takes to charge increases exponentially the higher the battery percentage is,-0.16,0.6827777777777777,3.4,3
Even though it doesn't make a lot of sense it seemed to work better to charge often for small amounts of charge.,0.125,0.45,1.9,3
It’s rigged you can’t bulk up at the beginning,0.0,0.0,0.2,2
Try to charge as much as you can when you get the chance.,0.2,0.2,4.1,1
"Charge just enough to get to the furthest stop that is at most 50 minutes away assuming maximum traffic or to 50, whichever is greater. Do not charge again until you reach that stop. Then repeat the process until you reach the end. (I thought the number was closer to 70 but never tested either!)",0.375,0.5,3.7,2
Charge the most at round 1 and then charge the least amount to make it through the journey.,0.0,0.43333333333333335,2.85,1
"Try to estimate as close as you can, to reduce the number of stops to every other stop. ",-0.125,0.375,1.7,3
Always overcharge,0.0,0.0,0.6,1
You should be able to make it to the next stop.,0.25,0.3125,3.05,3
do the maths bro,0.0,0.0,2.75,2
A more direct instruction of the exact amount to charge.,0.2833333333333333,0.3833333333333333,1.4,2
Pay attention to all the drive times.,0.0,0.0,1.9,2
"Stop more frequently, don't charge over 50% unless you have to. It is much faster. ",0.26666666666666666,0.3333333333333333,2.65,3
"Get enough charge from the start to cover two segments if possible, then just get the bare minimum charge to cover the rest of the segments. ",0.016666666666666666,0.5333333333333333,3.5,3
They can first 100 percent at the beggining.,0.25,0.3333333333333333,1.55,2
"luck is not on your side, always anticipate to lose the most gas",0.5,0.5,0.75,1
Weigh the cost of buying charge enough to cover max traffic versus maybe have charge leftover.,0.0,0.5,2.65,1
Try to recharge as few times as possible and keep the charge below 50%.,-0.1,0.55,1.35,1
It's not worth risking running out to save a few minutes since the penalty is so great. Always recharge for the maximum possible time that the segment might be.,0.11250000000000002,0.4875,3.1,3
It was just enough but be more precise about the charging capacities.,0.3,0.6,0.95,2
Listen to the advice and charge enough to make it with a small margin for the traffice.,-0.125,0.45,1.55,3
Charge more at the beginning.,0.5,0.5,0.0,2
Keep charging the car usually,-0.25,0.25,0.75,3
benefit of filling fully vs penalty for partial filling,-0.1,0.3,1.9,2
You should leave the instructions at the top during the game,0.04999999999999999,0.45,0.4,2
I would say maybe help with the amount of charging and more help with traffic,0.5,0.5,0.4,2
Make sure that you account for the traffic and get slightly more charge then you need.,0.5,0.6944444444444444,1.5,3
"I think the exact charge percentage should be displayed as it will help the player know what to do at the moment,",0.25,0.25,2.1,3
Always make sure you have enough to get to the next stop and be sure to look ahead. Planning around the maximum travel time for each (incorporating the maximum traffic) will ensure you can get through but taking risks around the minimum travel time will potentially allow you to get under <500 total travel time.,0.16666666666666666,0.6712962962962963,2.35,1
"Future players should be able to get a warning or advice for other trips as well, and not just two selected trips.",0.125,0.375,0.3,2
Listen to the advice. Charge more often. Remember you may not need enough charge for the maximum time needed (so you might want to gamble that it's less).,0.11111111111111112,0.35555555555555557,2.25,1
Don't charge 100% at the beginning.,0.0,0.0,1.4,1
"Try to fill your battery so that your current charge plus the extra charge is equal to the length of the next two or so stops, if that's right.",0.05714285714285714,0.2571428571428571,2.1,2
How much to charge before each trip,0.2,0.2,1.5,3
take the advice,0.0,0.0,0.3,2
Just calculate the time and traffic ad then to use the lowest possible charge for it,0.0,1.0,1.9,1
check traffic,0.0,0.0,0.0,1
Show the amount we need to charge to cover the trip with traffic and without,0.0,0.0,1.3,1
always do the maths,0.0,0.0,0.0,1
Trust your gut. Think about the AI tips into rounds that may not have the prompt.,0.0,0.0,2.45,1
"Try not to charge over 55% at any one time unless necessary. Also, there's no need to charge extra time """"just-in-case"""" beyond the length of time of the worst-case traffic. ",0.0,0.55,3.15,2
Calculate your time well,0.0,0.0,0.7,2
Play extremely close attention to your current charge when making your decisions,-0.0625,0.7,0.0,2
Add up your time in the beginning then divide,0.0,0.0,0.8,2
"At 0% charge, the most efficient charging percent for your time is 44%",0.5,0.5,1.55,2
Just calculate time well,0.0,0.0,0.4,2
the should always calculate ahead the distance to be covered and the time it will take for them to get there so they can charge their battery at once to avoid penalties and extra time spent on charging batttery,-0.05,0.1,1.0,2
details should be added to the screen,0.0,0.0,1.5,3
Be calculative with your distance and charge,0.0,0.0,1.5,3
Charge enough for just one stop,0.0,0.5,1.15,2
I prefer the advice for instance focusing on the total travel time rather than focusing on getting the vehicle to the next stop so as to avoid the extra charging time involved.,0.0,0.2833333333333333,1.4,3
"Always minimize charging time, and strategically calculate enough to charge for the next stop!",0.0,0.25,1.5,1
"I think that giving the % amount could be easier for some people to understand by not having to do the math themselves, but I found that having it tell you whether to charge enough for this segment or this segment and the following made me do the math myself and it was helpful in following situations because then I knew what I needed to do without relying on the number being provided for me.",0.0,0.2333333333333333,2.3,2
the tips actually worked great,0.4,0.425,3.0,2
Combine the two maximum times and add one or two extra minutes when you charge. That way you don't have to stop after every stop to recharge.,0.0,0.1,2.95,2
my performance was really bad so i do not really think my advice is good.,-0.03333333333333329,0.48888888888888893,0.0,2
pay attention to the charge time left,0.0,0.0,0.4,2
when you are at the last stop dont gamble with the charging time,0.0,0.06666666666666667,2.25,1
always charge at this stop enough to cover just this road segment,0.0,0.5,0.0,1
"It was difficult to decide when to recharge, I tried but I couldn't reach the finish line properly.",-0.25,0.55,0.0,3
THE TIP COULD BE CLEARER AS THE ADVICE OR TIP GIVEN TO ME SHOULD HAVE STATED EXACTLY HOW MUCH PERCENT FOR ME TO CHARGE AT EACH STOP,0.225,0.225,1.55,1
"I think if past mistakes were visible, this will allow the players make more informed choices",0.125,0.375,2.3,3
Do not over charge and also know when to charge for two segment,0.0,0.0,4.1,2
pay attention to the time increases!,0.0,0.0,1.4,1
The overall explanation of the game was fine. It's the actually playing part and getting it right that was hard. I'm not sure what else to offer in getting better results there.,0.03258928571428571,0.4332837301587301,0.4,1
I think you will have to do your best to consider travel time and traffic for the next stop and decide on how to minimize it without running out of charge,0.5,0.15,1.9,3
The advice you're providing right now is great.,0.5428571428571429,0.6428571428571428,2.45,3
No tip. The advice given was very helpful,0.2,0.3,1.95,3
Calculate two to three stops ahead in order to know how much to charge and to avoid 300 minutes for penalty for insufficient charge.,0.2,0.2,2.4,2
this works just fine,0.4166666666666667,0.5,1.5,3
A more precise or range should be included in the advice on what to charge for a particular round.,0.21666666666666667,0.5083333333333333,1.5,1
What worked best for me was to charge to 50% at stop 0. This charge would get me to stop 3 (most of the time). Then for the last half of the trip charge just enough to get to the next stop each time.,0.2222222222222222,0.2555555555555556,2.25,2
I can't think of anything.,0.0,0.0,1.3,1
I always took into consideration the worst case scenario.  I only combined 2 stops if it was around 50%.,-0.5,1.0,2.6,2
Pay attention to the charge and how long the trip may take.,-0.05,0.4,0.2,2
I don't know.,0.0,0.0,3.2,3
Pay attention to the general amount of time a trip between stops takes and how much charge is used during that trip. It may help you more quickly gauge if you can or cannot continue with or without charging.,0.2708333333333333,0.425,0.2,1
"If the math was explained fully, like """"if you choose to charge for two sections here, and charge for maximum traffic anticipated, you will arrive X amount sooner or later than if you charge twice and just charge enough to cover each segment""""",0.0,0.25,3.8,2
Charge longer when traffic is light to get at least two stops,0.05000000000000002,0.55,1.7,1
"I think if there's a long segment after a short one, just charge enough for the short segment and then charge for the long one. If there are two short segments, charge enough for both.",-0.014285714285714287,0.3857142857142857,2.8,3
Charge for multiple stops if the sum of their minutes combined is equal to/under 50%.,0.0,0.125,3.9,3
"I think going an over a few percentage points every stop before a reset (a point where you need to fill to 100 to hedge against worst case) is ideal. it allows you to coast the last round without a need for charge. Also don't be afraid to take risks there was points where I knew if it rolled worst case, I would not have enough charge, but I believed and the rng played in my favor.",-0.26249999999999996,0.6208333333333333,2.4,2
Charge more than you think you'll need.,0.5,0.5,1.8,1
I don't think the advice/tips could improve.  The advice was perfect and had just enough gas to make it to each stop. I would say the best advice to players would be to follow that advice structure given for the whole experiment.,0.55,0.55,1.7,3
"Charging all the way to 100 takes a lot of time, but each charge also has a setup time, so try to charge a moderate amount to be able to cover multiple segments on a single charge when possible.",0.08571428571428572,0.5078571428571428,2.8,3
Increase charge to avoid running out of charge if the maximum amount of traffic is present.,0.0,0.0,3.1,3
I can't think of anything. It was pretty easy once I figured out how it worked exactly.,0.3111111111111111,0.6944444444444445,2.85,3
I think the simplest but most useful advice I can give to other players is to analyze the situation they are in and make the best possible decisions based on their own reasoning.,0.37916666666666665,0.5291666666666667,0.4,1
Charge during traffic,0.0,0.0,1.2,2
Just try your best.,1.0,0.3,0.4,2
not sure,-0.25,0.8888888888888888,0.4,1
charge enough to skip next stop,0.0,0.25,1.15,2
"Charge just enough to cover the current round, considering the maximum amount of time traffic could take combined with the travel time.",-0.06666666666666667,0.43333333333333335,2.85,3
Take time in advance to preview the road segments and their various lengths/traffic amounts,0.0,0.5,1.2,1
"Im not sure what to say, when you mean what was shown if your referring to the advice Id say its fine no need to change, but for battery charge a verticle table showing time to charge in 5 min intervals (as a reference) could be useful (to see the rate of change)",0.03854166666666667,0.5190972222222222,2.2,1
"Add up the minutes and then subtract the gas you already still have. Do not forget that you might still have a certain amount of gas, because you don't want to fill up more than you need or it costs more time.",0.4047619047619048,0.5238095238095238,1.95,1
"When charging for multiple segments, it may be worth it to charge slightly below what you would need if traffic was always as bad as possible.",-0.11333333333333331,0.38666666666666666,2.85,3
"I'm not really sure I performed well enough to be offering advice, but, try to consider multiple roads at once, is probably a good strategy.",0.11249999999999999,0.49722222222222223,2.1,1
Remind them they should arrive with the least amount of charge in the car to win. They do not need to arrive with a lot of charge left and that will cost them more time to fill it that high.,0.23199999999999998,0.368,2.3,2
My advice would be to charge almost to full when there's little distance and traffic to maximize time. Also that you don't need to charge at every stop.,0.08124999999999999,0.525,1.0,1
Pay more attention to the color of the roads.,0.5,0.5,2.65,1
"Best simple tip: Look through the next 2-3 segments of the travel, and if you can charge enough to cover the next 2-3 segments, do it while your battery charge level is low.",0.16666666666666666,0.24285714285714285,3.2,2
I recommend charging enough to cover the first two stops initially. Then just enough for each remaining stop assuming traffic,0.0625,0.3333333333333333,3.3,3
"I think the tip shown was very helpful and straightforward. In addition to the tip, maybe add reminder text to consider the amount of time it will take for the drive in addition to the charge time.",0.2875,0.3375,1.95,1
Plan for traffic to be the worst it could possibly be because running out of charge before the stops has a huge penalty.,-0.19999999999999996,0.9666666666666667,3.7,2
"Maybe charge the average between the min and max distance between each stop. If you only charge against the maximum distance, you won't get the maximum bonus.",-0.075,0.7,2.35,3
The tips were excellent. I wish I had more tips.,0.75,0.75,1.15,3
I loved the tips and thought they were perfect,0.85,0.9,3.25,3
"Try to only charge as much as you need ad don't take unnecessary risk.. If there are two shorter segments where the max required charge to get through both is about 55 minutes, charge enough for those two segments.",-0.05,0.65,3.95,3
Say exactly how much to charge at each stop.,0.225,0.225,2.45,2
"To combine segments if it adds up to about 50%.  Greater than that, it's too long unless that is a strict requirement for the road segment itself.",0.225,0.45,3.3,3
Charge the minimum necessary to get through each stage.,0.0,1.0,1.8,1
"I used the tips given, so I think the displayed tips are effective.",0.6,0.8,2.65,3
The best simple tip and advice on the gameplay and strategy to help future players is to always charge more than anticipated.,0.375,0.32053571428571426,1.5,3
Try to do the math before you start.,0.0,0.0,0.9,1
Exact numbers to safely make it to the next stop would be more helpful than 'charge extra'.,0.25,0.27,1.6,2
"Try to predict the whole game first, and then make adjustments each round depending on how close or far you were from your predictions. If the next round offers the same time as the previous round, see if there are ways to continue optimizing your timing based on what you noticed last time. Don't deviate too dramatically, but see if you can play with the buffer of the minutes you're working with. ",-0.04305555555555555,0.30763888888888885,2.25,1
"If the stop has a high amount of traffic (orange-red), it is better to only charge just enough to get to the next destination. If there is not much traffic (green), charge to cover the next stop as well.",0.045000000000000005,0.38,3.35,1
I thought the tips were fine and logical.  My strategy was to cover at least one pair of low time stops that way I can skip at least one.  For the upcoming long stops I would also get more charge than necessary the stop before so that I don't have to charge for an even longer time for the heavy traffic areas.,0.03518518518518519,0.4722222222222222,2.6,1
"I was unclear for a while that the traffic numbers were a range, and not just two options.",0.0,0.0,1.9,3
Read all the information,0.0,0.0,1.15,2
For shorter trips only charge what is needed. For longer trips charge slightly more than needed to anticipate longer travel times,0.25,0.75,2.7,1
It's important to see how much charge you need ahead and use that knowledge to charge accordingly.,0.30000000000000004,0.6,2.1,3
Best advice is to take the minimum amount needed to get to the next stop,0.5,0.15,3.35,3
"Well honestly, your tips were better than anything I could suggest, but basically charge as little as possible to make it to the next stop. Only combine charges to get through two stops if the distance+max traffic times are very short.",0.13035714285714287,0.6128571428571429,3.05,3
